Model,MAE,RMSE,R2 Score
Random Forest,3.2420105270145205,4.080228663908924,0.8101206689498943
Decision Tree,4.13751507840772,5.430315008159156,0.6636753221723877
Support Vector Regressor,4.5143455130941,5.762477877816327,0.6212721605269278
Linear Regression,5.548310533341438,6.9394969068333,0.450756834980374
